Episode:0, eps_reward:1.0, max_hit_reward:1.0, agent.max_reward: 0, epsilon: 0.7865334084168147
Episode:145, eps_reward:3.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:146, eps_reward:0.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:147, eps_reward:2.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:148, eps_reward:2.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:149, eps_reward:1.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:150, eps_reward:1.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:151, eps_reward:3.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:152, eps_reward:3.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:153, eps_reward:2.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:154, eps_reward:0.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:155, eps_reward:2.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:156, eps_reward:1.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:157, eps_reward:3.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:158, eps_reward:0.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:159, eps_reward:3.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:160, eps_reward:2.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:161, eps_reward:4.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:162, eps_reward:3.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:163, eps_reward:0.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:164, eps_reward:2.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
