Episode:241, eps_reward:1.0, max_hit_reward:8.0, agent.max_reward: 8.0, epsilon: 0.1
Episode:242, eps_reward:2.0, max_hit_reward:8.0, agent.max_reward: 8.0, epsilon: 0.1
Episode:243, eps_reward:2.0, max_hit_reward:8.0, agent.max_reward: 8.0, epsilon: 0.1
Episode:244, eps_reward:0.0, max_hit_reward:8.0, agent.max_reward: 8.0, epsilon: 0.1
Episode:245, eps_reward:0.0, max_hit_reward:8.0, agent.max_reward: 8.0, epsilon: 0.1
Episode:246, eps_reward:1.0, max_hit_reward:8.0, agent.max_reward: 8.0, epsilon: 0.1
Episode:247, eps_reward:3.0, max_hit_reward:8.0, agent.max_reward: 8.0, epsilon: 0.1
Episode:248, eps_reward:0.0, max_hit_reward:8.0, agent.max_reward: 8.0, epsilon: 0.1
Episode:249, eps_reward:2.0, max_hit_reward:8.0, agent.max_reward: 8.0, epsilon: 0.1
Episode:250, eps_reward:1.0, max_hit_reward:8.0, agent.max_reward: 8.0, epsilon: 0.1
Episode:251, eps_reward:2.0, max_hit_reward:8.0, agent.max_reward: 8.0, epsilon: 0.1
Episode:252, eps_reward:2.0, max_hit_reward:8.0, agent.max_reward: 8.0, epsilon: 0.1
Episode:253, eps_reward:0.0, max_hit_reward:8.0, agent.max_reward: 8.0, epsilon: 0.1
Episode:254, eps_reward:0.0, max_hit_reward:8.0, agent.max_reward: 8.0, epsilon: 0.1
Episode:255, eps_reward:1.0, max_hit_reward:8.0, agent.max_reward: 8.0, epsilon: 0.1
Episode:256, eps_reward:0.0, max_hit_reward:8.0, agent.max_reward: 8.0, epsilon: 0.1
Episode:257, eps_reward:2.0, max_hit_reward:8.0, agent.max_reward: 8.0, epsilon: 0.1
Episode:258, eps_reward:0.0, max_hit_reward:8.0, agent.max_reward: 8.0, epsilon: 0.1
Episode:259, eps_reward:3.0, max_hit_reward:8.0, agent.max_reward: 8.0, epsilon: 0.1
Episode:260, eps_reward:3.0, max_hit_reward:8.0, agent.max_reward: 8.0, epsilon: 0.1
Episode:261, eps_reward:2.0, max_hit_reward:8.0, agent.max_reward: 8.0, epsilon: 0.1
Episode:262, eps_reward:2.0, max_hit_reward:8.0, agent.max_reward: 8.0, epsilon: 0.1
Episode:263, eps_reward:2.0, max_hit_reward:8.0, agent.max_reward: 8.0, epsilon: 0.1
Episode:264, eps_reward:1.0, max_hit_reward:8.0, agent.max_reward: 8.0, epsilon: 0.1
Episode:265, eps_reward:2.0, max_hit_reward:8.0, agent.max_reward: 8.0, epsilon: 0.1
Episode:266, eps_reward:1.0, max_hit_reward:8.0, agent.max_reward: 8.0, epsilon: 0.1
Episode:267, eps_reward:2.0, max_hit_reward:8.0, agent.max_reward: 8.0, epsilon: 0.1
Episode:268, eps_reward:0.0, max_hit_reward:8.0, agent.max_reward: 8.0, epsilon: 0.1
Episode:269, eps_reward:1.0, max_hit_reward:8.0, agent.max_reward: 8.0, epsilon: 0.1
Episode:270, eps_reward:3.0, max_hit_reward:8.0, agent.max_reward: 8.0, epsilon: 0.1
Episode:271, eps_reward:2.0, max_hit_reward:8.0, agent.max_reward: 8.0, epsilon: 0.1
Episode:272, eps_reward:1.0, max_hit_reward:8.0, agent.max_reward: 8.0, epsilon: 0.1
Episode:273, eps_reward:1.0, max_hit_reward:8.0, agent.max_reward: 8.0, epsilon: 0.1
Episode:274, eps_reward:4.0, max_hit_reward:8.0, agent.max_reward: 8.0, epsilon: 0.1
